BD_Team,Region,Client_Name,Industry,Lead_Source,Campaign,Lead_Score,Current_Stage,Initial_Contact_Date,Deal_Closed_Date,Expected_Deal_Size,Actual_Revenue,BD_Representative,Opportunity_ID
Team B,Latin-America,TechNova,Technology,Inbound,Tech Summit,49,Qualified,45657,,62386.26,0,Rohit Menon,OPP-00059
Team C,Europe,GreenTech,Renewable Energy,Outbound,education forum,48,Closed Won,45774,45869,44232.47,49354.35,Lina Fernandez,OPP-00060
Team D,Middle-East,HealthPlus,Healthcare,Outbound,Tech Summit,74,Qualified,45296,,62584.11,0,Chen Wei,OPP-00061
Team A,Asia-Pacific,Urbanmobility,Transportation,Event,Healthcare Expo,44,Qualified,45224,,60692.8,0,Alex Patel,OPP-00062
Team D,Asia-Pacific,GreenSystems,Renewable Energy,Event,green tech day,59,Prospecting,45479,,57162.12,0,Chen Wei,OPP-00063
Team D,Europe,MarketIQ,Market Intelligence,Inbound,Education Forum,79,Closed Lost,45251,45267,22118.61,0,Chen Wei,OPP-00064
Team C,North-America,AgriHarvest,Agriculture,Inbound,Spring Launch,95,Qualified,45232,,62974.77,0,Lina Fernandez,OPP-00065
Team C,Latin-America,MediCore,Healthcare,Partnership,EducationForum,21,Prospecting,45484,,35451.25,0,Samir Gupta,OPP-00066
Team C,Asia-Pacific,HealthPlus,Healthcare,Event,Education Forum,90,Prospecting,45329,,71017.6,0,Samir Gupta,OPP-00067
Team B,Europe,GreenTech,Renewable Energy,Referral,Education Forum,44,Closed Lost,45254,45276,94033.34,0,Rohit Menon,OPP-00068
Team B,Asia-Pacific,MediCore,Healthcare,Partnership,Healthcare Expo,96,Qualified,45805,,9180.11,0,Meera Shah,OPP-00069
Team C,Middle-East,GreenSystems,Renewable Energy,Inbound,SpringLaunch,96,Negotiation,45658,,143386.68,0,Samir Gupta,OPP-00070
Team C,North-America,FinEdge,Financial Services,Webinar,Spring Launch,80,Negotiation,45268,,29221.13,0,Lina Fernandez,OPP-00071
Team C,Europe,GreenSystems,Renewable Energy,Social Media,FinTech Webinar,55,Negotiation,45448,,70775.58,0,Samir Gupta,OPP-00072
Team A,Asia-Pacific,TechNova,Technology,Webinar,Referral Program,76,Prospecting,45747,,34209.59,0,Priya Singh,OPP-00073
Team B,Latin-America,GreenTech,Renewable Energy,Social Media,Spring Launch,99,Prospecting,45712,,46306.655,0,Meera Shah,OPP-00074
Team D,North-America,FinPeak,FinTech,Unknown,Agri Meet,82,Prospecting,45387,,50183.11,0,Chen Wei,OPP-00075
Team E,North-America,GreenTech,Renewable Energy,Inbound,Healthcare Expo,83,Proposal Sent,45486,,39390.27,0,Rafael Souza,OPP-00076
Team E,North-America,EduNext,Education,Event,Agri Meet,75,Closed Lost,45832,45869,71877.68,0,Sara Ibrahim,OPP-00077
Team D,Latin-America,EduNext,Education,Social Media,Healthcare Expo,73,Proposal Sent,45358,,42708.15,0,Emma Johnson,OPP-00078
Team B,North-America,MediCore,Healthcare,Social Media,Spring Launch,61,Closed Lost,45371,45502,124449.92,0,Rohit Menon,OPP-00079
Team E,Latin-America,CloudWorks,Cloud Computing,Partnership,Healthcare Expo,88,Negotiation,45377,,132942.57,0,Rafael Souza,OPP-00080
Team B,Asia-Pacific,SafeBank,Financial Services,Webinar,agri meet,84,Prospecting,45235,,22856.95,0,Rohit Menon,OPP-00081
Team C,North-America,MediCore,Healthcare,Inbound,Summer outreach,47,Qualified,45490,,99585.63,0,Lina Fernandez,OPP-00082
Team D,Latin-America,TechNova,Technology,Email Campaign,Agri Meet,47,Proposal Sent,45329,,43147.81,0,Emma Johnson,OPP-00083
Team A,Middle-East,BioHealth,Biotechnology,Partnership,Education Forum,64,Proposal Sent,45410,,14048.08,0,Priya Singh,OPP-00084
Team E,Europe,HealthPlus,Healthcare,Social Media,HealthcareExpo,67,Qualified,45841,,84417.11,0,Rafael Souza,OPP-00085
Team C,Europe,AgriCorp,Agriculture,Partnership,FinTech Webinar,67,Proposal Sent,45806,,24860.9,0,Unknown,OPP-00086
Team E,North-America,MediCore,Healthcare,Outbound,EducationForum,94,Negotiation,45644,,69875.38,0,Sara Ibrahim,OPP-00087
Team E,North-America,SafeBank,Financial Services,Webinar,Agri Meet,71,Closed Won,45499,45603,59933.89,58245.92,Rafael Souza,OPP-00088
Team C,Asia-Pacific,FinEdge,Financial Services,Outbound,Education Forum,61,Proposal Sent,45393,,81600.05,0,Unknown,OPP-00089
Team D,Europe,HealthPlus,Healthcare,Outbound,EducationForum,50,Proposal Sent,45570,,46277.48,0,Emma Johnson,OPP-00090
Team C,Europe,SafeBank,Financial Services,Referral,Summer Outreach,84,Proposal Sent,45208,,46306.655,0,Samir Gupta,OPP-00091
Team C,North-America,MediCore,Healthcare,Inbound,Education forum,88,Prospecting,45334,,43009.78,0,Lina Fernandez,OPP-00092
Team A,Asia-Pacific,CloudWorks,Cloud Computing,Email Campaign,Summer Outreach,33,Prospecting,45842,,78403.29,0,Alex Patel,OPP-00093
Team D,North-America,BioHealth,Biotechnology,Partnership,Referral program,64,Prospecting,45481,,62074.4,0,Chen Wei,OPP-00094
Team A,North-America,GreenTech,Renewable Energy,Outbound,referral program,68,Qualified,45387,,85053.7,0,Priya Singh,OPP-00095
Team D,Latin-America,HealthPlus,Healthcare,Email Campaign,Healthcare expo,92,Proposal Sent,45837,,113815.79,0,Chen Wei,OPP-00096
Team B,Asia-Pacific,FinPeak,FinTech,Unknown,Healthcare Expo,30,Proposal Sent,45776,,58416.32,0,Meera Shah,OPP-00097
Team A,Middle-East,AgriHarvest,Agriculture,Event,GreenTechDay,81,Proposal Sent,45615,,83396.14,0,Alex Patel,OPP-00098
Team E,Asia-Pacific,GreenTech,Renewable Energy,Referral,spring launch,28,Closed Lost,45542,45626,55123.73,0,Rafael Souza,OPP-00099
Team B,Europe,MediCore,Healthcare,Email Campaign,Summer outreach,43,Qualified,45738,,52450.5,0,Rohit Menon,OPP-00100
Team B,North-America,CloudWorks,Cloud Computing,Partnership,Healthcare Expo,64,Prospecting,45694,,46306.655,0,Unknown,OPP-00101
Team D,Latin-America,CloudWorks,Cloud Computing,Email Campaign,Tech Summit,29,Prospecting,45320,,102613.22,0,Emma Johnson,OPP-00102
Team D,Europe,AgriCorp,Agriculture,Inbound,Healthcare Expo,62,Negotiation,45371,,73120.16,0,Chen Wei,OPP-00103
Team A,Middle-East,MarketIQ,Market Intelligence,Outbound,Referral Program,67,Negotiation,45699,,13703.05,0,Alex Patel,OPP-00104
Team C,North-America,FinEdge,Financial Services,Event,Referral Program,93,Prospecting,45555,,89501.62,0,Samir Gupta,OPP-00105
Team E,Europe,AgriHarvest,Agriculture,Social Media,Tech Summit,86,Qualified,45790,,28345.42,0,Rafael Souza,OPP-00106
Team C,Asia-Pacific,MediCore,Healthcare,Webinar,Agri Meet,33,Closed Won,45803,45831,47596.59,55322.92,Samir Gupta,OPP-00107
Team B,North-America,HealthPlus,Healthcare,Event,FinTech Webinar,83,Qualified,45809,,98694.21,0,Meera Shah,OPP-00108
Team B,North-America,MediCore,Healthcare,Referral,Spring Launch,84,Closed Lost,45634,45681,29540.87,0,Rohit Menon,OPP-00109
Team A,Asia-Pacific,EduNext,Education,Partnership,Healthcare Expo,97,Prospecting,45292,,42044.5,0,Priya Singh,OPP-00110
Team D,Middle-East,EduNext,Education,Event,Healthcare Expo,83,Qualified,45172,,75910.89,0,Chen Wei,OPP-00111
Team A,Europe,EduNext,Education,Referral,Healthcare Expo,38,Prospecting,45407,,31276.35,0,Alex Patel,OPP-00112
Team A,Latin-America,FinEdge,Financial Services,Referral,referral program,88,Closed Lost,45528,45661,17670.33,0,Alex Patel,OPP-00113
Team C,Europe,SafeBank,Financial Services,Email Campaign,TechSummit,51,Proposal Sent,45794,,28439.01,0,Samir Gupta,OPP-00114
Team C,Middle-East,SafeBank,Financial Services,Inbound,spring launch,32,Negotiation,45467,,87331.08,0,Lina Fernandez,OPP-00115
Team D,Europe,FinPeak,FinTech,Partnership,Tech Summit,93,Proposal Sent,45674,,74849.47,0,Emma Johnson,OPP-00116
Team C,Latin-America,FinPeak,FinTech,Inbound,Agri Meet,94,Negotiation,45761,,27539.57,0,Unknown,OPP-00117
Team E,North-America,GreenTech,Renewable Energy,Partnership,Green Tech Day,61,Closed Lost,45823,45843,25370.62,0,Rafael Souza,OPP-00118
Team B,Middle-East,BioHealth,Biotechnology,Email Campaign,Summer Outreach,51,Proposal Sent,45717,,51205.25,0,Rohit Menon,OPP-00119
Team C,Asia-Pacific,MediCore,Healthcare,Email Campaign,Fintech webinar,79,Prospecting,45862,,101092.53,0,Samir Gupta,OPP-00120
Team A,Asia-Pacific,GreenTech,Renewable Energy,Social Media,Healthcare expo,47,Prospecting,45253,,11229.62,0,Unknown,OPP-00121
Team D,Asia-Pacific,SafeBank,Financial Services,Inbound,Green Tech Day,81,Prospecting,45305,,16887.93,0,Chen Wei,OPP-00122
Team A,North-America,BioHealth,Biotechnology,Referral,Agri Meet,36,Proposal Sent,45261,,71718.65,0,Priya Singh,OPP-00123
Team A,Latin-America,TechNova,Technology,Event,Healthcare Expo,49,Qualified,45421,,59114.24,0,Alex Patel,OPP-00124
Team B,Asia-Pacific,MarketIQ,Market Intelligence,Outbound,Spring Launch,89,Qualified,45276,,32456.56,0,Meera Shah,OPP-00125
Team D,North-America,TechNova,Technology,Event,Unknown,64,Proposal Sent,45662,,30307.01,0,Emma Johnson,OPP-00126
Team B,Latin-America,CloudWorks,Cloud Computing,Webinar,Agri Meet,21,Qualified,45266,,20588.25,0,Meera Shah,OPP-00127
Team B,Latin-America,AgriCorp,Agriculture,Inbound,Spring Launch,28,Qualified,45275,,47187.11,0,Rohit Menon,OPP-00128
Team C,Middle-East,MediCore,Healthcare,Inbound,Spring Launch,22,Prospecting,45592,,38710.94,0,Samir Gupta,OPP-00129
Team A,Asia-Pacific,Urbanmobility,Transportation,Referral,referral program,98,Closed Lost,45439,45527,94767.03,0,Priya Singh,OPP-00130
Team D,Asia-Pacific,TechNova,Technology,Referral,Healthcare Expo,57,Closed Lost,45525,45703,9738.91,0,Emma Johnson,OPP-00131
Team A,North-America,GreenTech,Renewable Energy,Partnership,Agri Meet,99,Prospecting,45380,,14018.66,0,Priya Singh,OPP-00132
Team B,North-America,FinEdge,Financial Services,Event,Agri Meet,26,Proposal Sent,45646,,151510.48,0,Rohit Menon,OPP-00133
Team A,Asia-Pacific,EduNext,Education,Inbound,Spring Launch,61,Closed Lost,45540,45720,108531.62,0,Alex Patel,OPP-00134
Team D,Middle-East,FinPeak,FinTech,Social Media,Education Forum,99,Qualified,45573,,25568.87,0,Chen Wei,OPP-00135
Team B,Europe,AgriCorp,Agriculture,Unknown,Summer Outreach,30,Prospecting,45228,,24390.12,0,Rohit Menon,OPP-00136
Team A,Latin-America,AgriCorp,Agriculture,Outbound,Referral Program,81,Prospecting,45560,,42880.89,0,Priya Singh,OPP-00137
Team B,Europe,CloudWorks,Cloud Computing,Webinar,Tech Summit,62,Proposal Sent,45326,,72317.96,0,Rohit Menon,OPP-00138
Team B,Middle-East,TechNova,Technology,Partnership,TechSummit,22,Qualified,45200,,40219.81,0,Meera Shah,OPP-00139
Team B,North-America,Urbanmobility,Transportation,Referral,Spring Launch,74,Qualified,45753,,16530.67,0,Meera Shah,OPP-00140
Team A,Latin-America,GreenSystems,Renewable Energy,Email Campaign,Education Forum,97,Closed Won,45599,45704,5856.81,5257.06,Alex Patel,OPP-00141
Team A,Asia-Pacific,GreenSystems,Renewable Energy,Inbound,FinTech Webinar,80,Qualified,45378,,46306.655,0,Alex Patel,OPP-00142
Team D,Latin-America,TechNova,Technology,Event,Fintech webinar,45,Qualified,45601,,23848.28,0,Emma Johnson,OPP-00143
Team A,North-America,FinEdge,Financial Services,Partnership,Education Forum,73,Closed Lost,45401,45513,22655.03,0,Alex Patel,OPP-00144
Team D,Middle-East,GreenSystems,Renewable Energy,Webinar,Summer Outreach,40,Qualified,45725,,39814.18,0,Chen Wei,OPP-00145
Team C,Europe,GreenSystems,Renewable Energy,Email Campaign,Referral Program,26,Closed Won,45290,45314,57410.65,58174.05,Samir Gupta,OPP-00146
Team A,Middle-East,BioHealth,Biotechnology,Inbound,Spring Launch,39,Prospecting,45795,,87071.19,0,Alex Patel,OPP-00147
Team B,Middle-East,EduNext,Education,Outbound,FinTech Webinar,90,Prospecting,45771,,69340.83,0,Meera Shah,OPP-00148
Team D,Latin-America,AgriCorp,Agriculture,Social Media,Spring Launch,83,Prospecting,45859,,87846.56,0,Emma Johnson,OPP-00149
Team C,Europe,Urbanmobility,Transportation,Outbound,Spring Launch,81,Proposal Sent,45813,,37642.05,0,Lina Fernandez,OPP-00150
Team A,Latin-America,SafeBank,Financial Services,Event,GreenTechDay,60,Closed Won,45241,45367,107600.01,115761.52,Priya Singh,OPP-00151
Team B,Europe,AgriHarvest,Agriculture,Referral,Tech Summit,61,Proposal Sent,45605,,40143.1,0,Rohit Menon,OPP-00152
Team A,Middle-East,CloudWorks,Unknown,Email Campaign,Green Tech Day,50,Proposal Sent,45663,,53220.69,0,Priya Singh,OPP-00153
Team B,North-America,MarketIQ,Market Intelligence,Referral,Summer Outreach,33,Proposal Sent,45236,,13630.31,0,Rohit Menon,OPP-00154
Team C,Europe,Urbanmobility,Transportation,Outbound,Tech Summit,94,Prospecting,45689,,51235.42,0,Lina Fernandez,OPP-00155
Team E,North-America,MarketIQ,Market Intelligence,Referral,Referral Program,61,Proposal Sent,45583,,42667.88,0,Rafael Souza,OPP-00156
Team E,North-America,FinEdge,Financial Services,Email Campaign,Spring Launch,63,Negotiation,45712,,67555.49,0,Rafael Souza,OPP-00157
Team C,Middle-East,BioHealth,Biotechnology,Event,Agri meet,85,Prospecting,45223,,26753.65,0,Samir Gupta,OPP-00158
Team E,North-America,AgriHarvest,Agriculture,Email Campaign,Referral Program,33,Closed Lost,45173,45216,15781.96,0,Rafael Souza,OPP-00159
Team C,North-America,EduNext,Education,Partnership,Spring Launch,30,Qualified,45648,,126464.19,0,Samir Gupta,OPP-00160
Team E,Asia-Pacific,EduNext,Education,Webinar,FinTech Webinar,30,Qualified,45785,,40584.57,0,Sara Ibrahim,OPP-00161
Team C,Asia-Pacific,TechNova,Technology,Outbound,AgriMeet,70,Prospecting,45404,,96018.4,0,Samir Gupta,OPP-00162
Team D,Asia-Pacific,GreenSystems,Renewable Energy,Unknown,Healthcare Expo,63,Negotiation,45289,,29948.46,0,Emma Johnson,OPP-00163
Team C,Latin-America,MarketIQ,Market Intelligence,Social Media,agri meet,74,Qualified,45810,,54854.66,0,Samir Gupta,OPP-00164
Team A,Europe,AgriHarvest,Agriculture,Outbound,spring launch,73,Closed Lost,45652,45704,20758.88,0,Alex Patel,OPP-00165
Team B,Asia-Pacific,MarketIQ,Market Intelligence,Email Campaign,Referral Program,43,Prospecting,45436,,21518.97,0,Rohit Menon,OPP-00166
Team D,Asia-Pacific,AgriHarvest,Agriculture,Social Media,Education Forum,65,Proposal Sent,45654,,16311.04,0,Emma Johnson,OPP-00167
Team E,Middle-East,FinPeak,FinTech,Unknown,Tech Summit,31,Closed Lost,45574,45723,32659.93,0,Rafael Souza,OPP-00168
Team E,Middle-East,FinPeak,FinTech,Outbound,Tech Summit,43,Prospecting,45308,,27058.77,0,Rafael Souza,OPP-00169
Team E,Europe,AgriCorp,Agriculture,Referral,Tech Summit,34,Qualified,45652,,46816.44,0,Sara Ibrahim,OPP-00170
Team A,Europe,CloudWorks,Cloud Computing,Referral,Spring Launch,61,Prospecting,45265,,31162.15,0,Priya Singh,OPP-00171
Team A,Middle-East,Urbanmobility,Transportation,Social Media,Referral Program,48,Prospecting,45492,,64511.76,0,Priya Singh,OPP-00172
Team C,Latin-America,Urbanmobility,Transportation,Event,Education Forum,43,Prospecting,45363,,48398.43,0,Samir Gupta,OPP-00173
Team A,Middle-East,MediCore,Healthcare,Event,Healthcare Expo,92,Closed Lost,45313,45382,56659,0,Priya Singh,OPP-00174
Team D,North-America,EduNext,Education,Inbound,Summer Outreach,61,Negotiation,45216,,59199.6,0,Emma Johnson,OPP-00175
Team E,Asia-Pacific,BioHealth,Biotechnology,Social Media,Green Tech Day,49,Closed Won,45365,45505,18043.16,21196.62,Rafael Souza,OPP-00176
Team B,Asia-Pacific,AgriCorp,Agriculture,Referral,FinTech Webinar,61,Prospecting,45611,,40552.01,0,Rohit Menon,OPP-00177
Team B,Middle-East,CloudWorks,Cloud Computing,Event,Green Tech Day,36,Closed Won,45476,45543,9445.61,10631.52,Meera Shah,OPP-00178
Team C,Asia-Pacific,GreenTech,Renewable Energy,Partnership,Tech Summit,34,Qualified,45230,,25771.1,0,Lina Fernandez,OPP-00179
Team B,Europe,CloudWorks,Cloud Computing,Webinar,referral program,31,Prospecting,45808,,25312.82,0,Rohit Menon,OPP-00180
Team E,Latin-America,FinPeak,FinTech,Email Campaign,Healthcare Expo,48,Prospecting,45688,,22405.59,0,Unknown,OPP-00181
Team B,Europe,GreenSystems,Renewable Energy,Webinar,Education Forum,97,Prospecting,45499,,35330.58,0,Meera Shah,OPP-00182
Team C,Latin-America,SafeBank,Financial Services,Social Media,Summer Outreach,58,Qualified,45782,,37920.08,0,Samir Gupta,OPP-00183
Team D,Europe,EduNext,Education,Social Media,Agri Meet,48,Prospecting,45749,,11493.89,0,Emma Johnson,OPP-00184
Team B,Latin-America,CloudWorks,Cloud Computing,Inbound,FinTech Webinar,55,Closed Lost,45825,45869,43024.61,0,Meera Shah,OPP-00185
Team B,North-America,EduNext,Education,Inbound,TechSummit,31,Qualified,45519,,59128.79,0,Rohit Menon,OPP-00186
Team D,Latin-America,AgriCorp,Agriculture,Referral,Education Forum,67,Qualified,45790,,59654.35,0,Chen Wei,OPP-00187
Team B,Europe,GreenTech,Renewable Energy,Inbound,Healthcare Expo,91,Qualified,45443,,76658.03,0,Meera Shah,OPP-00188
Team E,Europe,GreenSystems,Renewable Energy,Outbound,fintech webinar,34,Prospecting,45171,,20575.7,0,Sara Ibrahim,OPP-00189
Team A,Latin-America,SafeBank,Financial Services,Event,Tech Summit,91,Prospecting,45269,,46306.655,0,Priya Singh,OPP-00190
Team E,Europe,EduNext,Education,Inbound,Agri Meet,58,Prospecting,45511,,64048.93,0,Rafael Souza,OPP-00191
Team A,Asia-Pacific,AgriHarvest,Agriculture,Social Media,Summer Outreach,53,Prospecting,45414,,23344.1,0,Priya Singh,OPP-00192
Team C,Middle-East,BioHealth,Biotechnology,Email Campaign,Green Tech Day,78,Prospecting,45666,,32346.35,0,Samir Gupta,OPP-00193
Team B,North-America,Urbanmobility,Transportation,Event,Education Forum,96,Qualified,45690,,13828.76,0,Meera Shah,OPP-00194
Team D,Middle-East,MediCore,Healthcare,Outbound,Healthcare Expo,72,Negotiation,45173,,28001.3,0,Chen Wei,OPP-00195
Team D,Asia-Pacific,GreenSystems,Renewable Energy,Social Media,Unknown,63,Prospecting,45658,,73272.03,0,Chen Wei,OPP-00196
Team C,North-America,MarketIQ,Market Intelligence,Webinar,Spring launch,81,Qualified,45545,,15536.84,0,Unknown,OPP-00197
Team A,North-America,SafeBank,Financial Services,Social Media,Green Tech Day,22,Prospecting,45438,,48052.31,0,Unknown,OPP-00198
Team C,North-America,GreenTech,Renewable Energy,Outbound,referral program,59,Prospecting,45670,,33082.34,0,Lina Fernandez,OPP-00199
Team D,Asia-Pacific,EduNext,Education,Referral,Referral Program,84,Proposal Sent,45462,,42212.16,0,Emma Johnson,OPP-00200
Team D,Latin-America,MediCore,Healthcare,Partnership,Tech Summit,79,Prospecting,45372,,64074.81,0,Chen Wei,OPP-00201
